,name,naverURL
84,포도 앤 보리,"https://map.naver.com/p/search/%ED%8F%AC%EB%8F%84%20%EC%95%A4%20%EB%B3%B4%EB%A6%AC/place/1244502466?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
85,한라맥주 미사신도시점,"https://map.naver.com/p/search/%ED%95%9C%EB%9D%BC%EB%A7%A5%EC%A3%BC%20%EB%AF%B8%EC%82%AC%EC%8B%A0%EB%8F%84%EC%8B%9C%EC%A0%90/place/1770502369?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
86,준이네 숯불닭갈비,"https://map.naver.com/p/search/%EC%A4%80%EC%9D%B4%EB%84%A4%20%EC%88%AF%EB%B6%88%EB%8B%AD%EA%B0%88%EB%B9%84/place/1805162175?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
87,안동 해장국,"https://map.naver.com/p/search/%EC%95%88%EB%8F%99%20%ED%95%B4%EC%9E%A5%EA%B5%AD/?c=15.00,0,0,0,dh"
88,주식회사 킹세라믹,"https://map.naver.com/p/search/%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC%20%ED%82%B9%EC%84%B8%EB%9D%BC%EB%AF%B9/?c=15.00,0,0,0,dh"
89,프리티플레저,"https://map.naver.com/p/search/%ED%94%84%EB%A6%AC%ED%8B%B0%ED%94%8C%EB%A0%88%EC%A0%80/place/1531781038?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
90,해피푸드,"https://map.naver.com/p/search/%ED%95%B4%ED%94%BC%ED%91%B8%EB%93%9C/?c=15.00,0,0,0,dh"
91,빈타그런스 브루잉 바,"https://map.naver.com/p/search/%EB%B9%88%ED%83%80%EA%B7%B8%EB%9F%B0%EC%8A%A4%20%EB%B8%8C%EB%A3%A8%EC%9E%89%20%EB%B0%94/place/1318421791?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
92,까망김밥,"https://map.naver.com/p/search/%EA%B9%8C%EB%A7%9D%EA%B9%80%EB%B0%A5/?c=15.00,0,0,0,dh"
93,한스푸드,"https://map.naver.com/p/search/%ED%95%9C%EC%8A%A4%ED%91%B8%EB%93%9C/?c=15.00,0,0,0,dh"
94,헌터스문,"https://map.naver.com/p/search/%ED%97%8C%ED%84%B0%EC%8A%A4%EB%AC%B8/?c=13.00,0,0,0,dh"
95,이찌방 라멘 VS 팟타이,"https://map.naver.com/p/search/%EC%9D%B4%EC%B0%8C%EB%B0%A9%20%EB%9D%BC%EB%A9%98%20VS%20%ED%8C%9F%ED%83%80%EC%9D%B4/?c=15.00,0,0,0,dh"
96,85:15 파로이로피자(Paroiro Pizza&Pasta),"https://map.naver.com/p/search/85%3A15%20%ED%8C%8C%EB%A1%9C%EC%9D%B4%EB%A1%9C%ED%94%BC%EC%9E%90%28Paroiro%20Pizza%26Pasta%29/?c=15.00,0,0,0,dh"
97,돌깨마을맷돌순두부 하남미사점,"https://map.naver.com/p/search/%EB%8F%8C%EA%B9%A8%EB%A7%88%EC%9D%84%EB%A7%B7%EB%8F%8C%EC%88%9C%EB%91%90%EB%B6%80%20%ED%95%98%EB%82%A8%EB%AF%B8%EC%82%AC%EC%A0%90/place/1119113894?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
98,하꼬초밥,"https://map.naver.com/p/search/%ED%95%98%EA%BC%AC%EC%B4%88%EB%B0%A5/?c=15.00,0,0,0,dh"
99,구가네 닭강정 호프,"https://map.naver.com/p/search/%EA%B5%AC%EA%B0%80%EB%84%A4%20%EB%8B%AD%EA%B0%95%EC%A0%95%20%ED%98%B8%ED%94%84/place/1851438047?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
100,베르온,"https://map.naver.com/p/search/%EB%B2%A0%EB%A5%B4%EC%98%A8/place/1514466982?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
101,묵삼 미사역점,"https://map.naver.com/p/search/%EB%AC%B5%EC%82%BC%20%EB%AF%B8%EC%82%AC%EC%97%AD%EC%A0%90/?c=15.00,0,0,0,dh"
102,부자밀면,"https://map.naver.com/p/search/%EB%B6%80%EC%9E%90%EB%B0%80%EB%A9%B4/?c=15.00,0,0,0,dh"
